Accession name,Papa
Santa Ana,Papa amarilla
Maria Huanca,Papa blanca
Tahuaqueña,Papa blanca
Perricholi,Papa perricholi
Atahualpa,Papa blanca
INIA - 301,Papa blanca
Kori - INIA,Papa blanca
P-9,Papa blanca
Costanera,Papa blanca
Muru,Papa Color
Yana,Papa Negra Andina
UNALM Guisi,Papa Blanca
Canchan-INIA,Papa Canchan
Chagllina-INIA,Papa blanca
Chata Roja,Papa color
Amarilis-INIA,Papa amarilla
Maria Tambeña,Papa amarilla 
Reiche,Papa amarilla 
Maria Bonita-INIA,Papa blanca
Tacna,Papa blanca
"INIA 309, SERRANITA",Papa amarilla 
Primavera,Papa Color
UNICA,Papa Unica
"INIA 310, Chucmarina",Papa blanca
Musuq Tomasa,Papa blanca
Poderosa,Papa blanca
Kawsay,Papa Negra Andina
Puca Lliclla INIA 312,Papa amarilla
"INIA 311, Pallay Poncho",Papa blanca
Papa Huayro,Papa Huayro
Papa Yungay,Papa Yungay